image,method,threshold,shrink,patch_size,sigma,mse,psnr
ali_gray.jpg,local,hard,v,9,10,41.70,31.93
ali_gray.jpg,local,hard,v,9,20,95.74,28.32
ali_gray.jpg,local,hard,v,9,30,153.34,26.27
ali_gray.jpg,local,hard,b,5,10,60.79,30.29
ali_gray.jpg,local,hard,b,5,20,168.89,25.85
ali_gray.jpg,local,hard,b,5,30,303.25,23.31
ali_gray.jpg,local,hard,b,7,10,60.97,30.28
ali_gray.jpg,local,hard,b,7,20,169.05,25.85
ali_gray.jpg,local,hard,b,7,30,298.74,23.38
ali_gray.jpg,local,hard,b,9,10,61.00,30.28
ali_gray.jpg,local,hard,b,9,20,172.67,25.76
ali_gray.jpg,local,hard,b,9,30,297.87,23.39
ali_gray.jpg,local,soft,v,5,10,136.24,26.79
ali_gray.jpg,local,soft,v,5,20,322.72,23.04
ali_gray.jpg,local,soft,v,5,30,516.44,21.00
ali_gray.jpg,local,soft,v,7,10,119.79,27.35
ali_gray.jpg,local,soft,v,7,20,265.93,23.88
ali_gray.jpg,local,soft,v,7,30,411.90,21.98
ali_gray.jpg,local,soft,v,9,10,115.19,27.52
ali_gray.jpg,local,soft,v,9,20,242.55,24.28
ali_gray.jpg,local,soft,v,9,30,366.23,22.49
ali_gray.jpg,local,soft,b,5,10,43.16,31.78
ali_gray.jpg,local,soft,b,5,20,112.72,27.61
ali_gray.jpg,local,soft,b,5,30,193.35,25.27
ali_gray.jpg,local,soft,b,7,10,42.18,31.88
ali_gray.jpg,local,soft,b,7,20,107.35,27.82
ali_gray.jpg,local,soft,b,7,30,180.45,25.57
ali_gray.jpg,local,soft,b,9,10,42.12,31.89
ali_gray.jpg,local,soft,b,9,20,106.35,27.86
ali_gray.jpg,local,soft,b,9,30,176.16,25.67
ali_gray.jpg,global,hard,v,5,10,37.72,32.36
ali_gray.jpg,global,hard,v,5,20,104.44,27.94
ali_gray.jpg,global,hard,v,5,30,292.84,23.46
ali_gray.jpg,global,hard,v,7,10,40.77,32.03
ali_gray.jpg,global,hard,v,7,20,96.36,28.29
ali_gray.jpg,global,hard,v,7,30,168.33,25.87
ali_gray.jpg,global,hard,v,9,10,44.92,31.61
ali_gray.jpg,global,hard,v,9,20,99.43,28.16
ali_gray.jpg,global,hard,v,9,30,156.47,26.19
ali_gray.jpg,global,hard,b,5,10,73.67,29.46
ali_gray.jpg,global,hard,b,5,20,221.75,24.67
ali_gray.jpg,global,hard,b,5,30,382.33,22.31
ali_gray.jpg,global,hard,b,7,10,74.34,29.42
ali_gray.jpg,global,hard,b,7,20,226.71,24.58
ali_gray.jpg,global,hard,b,7,30,390.73,22.21
ali_gray.jpg,global,hard,b,9,10,75.02,29.38
ali_gray.jpg,global,hard,b,9,20,232.03,24.48
ali_gray.jpg,global,hard,b,9,30,405.64,22.05
ali_gray.jpg,global,soft,v,5,10,179.13,25.60
ali_gray.jpg,global,soft,v,5,20,504.05,21.11
ali_gray.jpg,global,soft,v,5,30,855.38,18.81
ali_gray.jpg,global,soft,v,7,10,142.76,26.58
ali_gray.jpg,global,soft,v,7,20,359.66,22.57
ali_gray.jpg,global,soft,v,7,30,618.87,20.21
ali_gray.jpg,global,soft,v,9,10,132.43,26.91
ali_gray.jpg,global,soft,v,9,20,302.77,23.32
ali_gray.jpg,global,soft,v,9,30,497.39,21.16
ali_gray.jpg,global,soft,b,5,10,52.20,30.95
ali_gray.jpg,global,soft,b,5,20,134.72,26.84
ali_gray.jpg,global,soft,b,5,30,239.42,24.34
ali_gray.jpg,global,soft,b,7,10,52.15,30.96
ali_gray.jpg,global,soft,b,7,20,129.28,27.02
ali_gray.jpg,global,soft,b,7,30,209.93,24.91
ali_gray.jpg,global,soft,b,9,10,52.15,30.96
ali_gray.jpg,global,soft,b,9,20,127.69,27.07
ali_gray.jpg,global,soft,b,9,30,199.36,25.13
crocodilo_gray.jpg,local,hard,v,5,10,48.37,31.29
crocodilo_gray.jpg,local,hard,v,5,20,124.57,27.18
crocodilo_gray.jpg,local,hard,v,5,30,210.92,24.89
crocodilo_gray.jpg,local,hard,v,7,10,54.04,30.80
crocodilo_gray.jpg,local,hard,v,7,20,132.76,26.90
crocodilo_gray.jpg,local,hard,v,7,30,210.01,24.91
crocodilo_gray.jpg,local,hard,v,9,10,59.06,30.42
crocodilo_gray.jpg,local,hard,v,9,20,140.11,26.67
crocodilo_gray.jpg,local,hard,v,9,30,219.60,24.71
crocodilo_gray.jpg,local,hard,b,5,10,89.51,28.61
crocodilo_gray.jpg,local,hard,b,5,20,315.14,23.15
crocodilo_gray.jpg,local,hard,b,5,30,617.46,20.22
crocodilo_gray.jpg,local,hard,b,7,10,89.53,28.61
crocodilo_gray.jpg,local,hard,b,7,20,316.36,23.13
crocodilo_gray.jpg,local,hard,b,7,30,630.34,20.14
crocodilo_gray.jpg,local,hard,b,9,10,89.50,28.61
crocodilo_gray.jpg,local,hard,b,9,20,319.79,23.08
crocodilo_gray.jpg,local,hard,b,9,30,635.74,20.10
crocodilo_gray.jpg,local,soft,v,5,10,200.30,25.11
crocodilo_gray.jpg,local,soft,v,5,20,538.91,20.82
crocodilo_gray.jpg,local,soft,v,5,30,973.05,18.25
crocodilo_gray.jpg,local,soft,v,7,10,178.99,25.60
crocodilo_gray.jpg,local,soft,v,7,20,428.97,21.81
crocodilo_gray.jpg,local,soft,v,7,30,717.18,19.57
crocodilo_gray.jpg,local,soft,v,9,10,175.33,25.69
crocodilo_gray.jpg,local,soft,v,9,20,390.15,22.22
crocodilo_gray.jpg,local,soft,v,9,30,620.16,20.21
crocodilo_gray.jpg,local,soft,b,5,10,68.92,29.75
crocodilo_gray.jpg,local,soft,b,5,20,202.87,25.06
crocodilo_gray.jpg,local,soft,b,5,30,349.55,22.70
crocodilo_gray.jpg,local,soft,b,7,10,69.26,29.73
crocodilo_gray.jpg,local,soft,b,7,20,201.36,25.09
crocodilo_gray.jpg,local,soft,b,7,30,342.05,22.79
crocodilo_gray.jpg,local,soft,b,9,10,69.75,29.70
crocodilo_gray.jpg,local,soft,b,9,20,203.13,25.05
crocodilo_gray.jpg,local,soft,b,9,30,343.66,22.77
crocodilo_gray.jpg,global,hard,v,5,10,51.97,30.97
crocodilo_gray.jpg,global,hard,v,5,20,132.40,26.91
crocodilo_gray.jpg,global,hard,v,5,30,226.69,24.58
crocodilo_gray.jpg,global,hard,v,7,10,57.74,30.52
crocodilo_gray.jpg,global,hard,v,7,20,138.71,26.71
crocodilo_gray.jpg,global,hard,v,7,30,224.48,24.62
crocodilo_gray.jpg,global,hard,v,9,10,63.15,30.13
crocodilo_gray.jpg,global,hard,v,9,20,148.59,26.41
crocodilo_gray.jpg,global,hard,v,9,30,230.37,24.51
